事件id,文本id,文本类型（0-怪谈文本、1-对话文本）,文本内容,下一个文本id,立绘id,背景id,,,,,,,,,,,,,,,
20153,3,1,你不顾无眠祭祀的阻拦破坏了一条铁链，其他的铁链像是发生了连锁反应一般跟着破碎。,4,,,,,,,,,,,,,,,,,
20153,4,1,黑山羊幼崽欢腾的一跃而起消失在虚空，只留下一种让你感觉神清气爽的呓语。,0,,,,,,,,,,,,,,,,,
20154,1,1,无论是诡异的黑山羊幼崽，还是这个来历不明的无眠祭祀都让你感觉不安。,2,,,,,,,,,,,,,,,,,
20154,2,1,你拒绝了祭祀的请求，继续踏上旅途。,0,,,,,,,,,,,,,,,,,
20161,1,1,前方似乎是一个村子，村门口的大树底下趴着一群硕大的老鼠真在晒月亮。,2,,,,,,,,,,,,,,,,,
20161,2,1,“反正每天也有饭吃，努力干活又没有什么用。”,3,,,,,,,,,,,,,,,,,
20161,3,1,一个老鼠慵懒的说道。,4,,,,,,,,,,,,,,,,,
20161,4,1,“还不如每天躺着享受享受生活，鼠生苦短，及时行了，鼠鼠我呀活的比以前好多了。”,5,,,,,,,,,,,,,,,,,
20161,5,1,“看你风尘仆仆的样子也是吃了不少苦头吧，和我们一起晒一会月亮吧！”,0,,,,,,,,,,,,,,,,,
20162,1,1,鼠鼠说的似乎有道理，这段时间待在怪谈空间中身心俱疲。,2,,,,,,,,,,,,,,,,,
20162,2,1,或许是时候稍微休息一下了。,3,,,,,,,,,,,,,,,,,
20162,3,1,鼠鼠给你挪了一个位置，你躺在他们中间美美的睡了一觉。,4,,,,,,,,,,,,,,,,,
20162,4,1,当你醒来的时候，周围的鼠鼠早已不见，只留下一地的老鼠残骸。,5,,,,,,,,,,,,,,,,,
20162,5,1,骨头上净是啮齿类动物的牙印。,6,,,,,,,,,,,,,,,,,
20162,6,1,你似乎明白了“有饭吃”是什么意思。,0,,,,,,,,,,,,,,,,,
20163,1,1,你对老鼠的生活方式感到疑惑。,2,,,,,,,,,,,,,,,,,
20163,2,1,如果不劳动的话如何获得食物，又如何生存？,3,,,,,,,,,,,,,,,,,
20163,3,1,提到这个问题的时候所有鼠鼠都显得不悦。,4,,,,,,,,,,,,,,,,,
20163,4,1,一边大骂你是叛徒，一边把你赶出了村庄。,0,,,,,,,,,,,,,,,,,
20164,1,1,你尝试表现出凶横的样子，亮出了武器。,2,,,,,,,,,,,,,,,,,
20164,2,1,好消息是，鼠鼠们看到你的样子四散而逃，甚至没有任何抵抗。,3,,,,,,,,,,,,,,,,,
20164,3,1,坏消息是，村子里穷的没有任何东西了。,0,,,,,,,,,,,,,,,,,
20171,1,1,充满迷雾的港口中只有一座灯塔显得格外醒目。,2,,,,,,,,,,,,,,,,,
20171,2,1,在塔的顶端跳动着明亮的火焰，海浪拍击着岩石，听上去令人格外安心。,3,,,,,,,,,,,,,,,,,
20171,3,0,海浪？这里为什么会有大型海湾？,4,,,,,,,,,,,,,,,,,
20171,4,1,就在这个时候一个老人出现在你身边，他自称灯塔的守塔人，邀请前往灯塔休憩一番。,5,,,,,,,,,,,,,,,,,
20171,5,1,但是你发现老人的身上十分干净，不像是一个守塔人的打扮。,0,,,,,,,,,,,,,,,,,
20172,1,1,老人微笑着点起了一盏灯在前方带路，你们开始朝着灯塔走去。,2,,,,,,,,,,,,,,,,,
20172,2,1,然而，走了很长时间，你们依旧没有到达灯塔，它似乎还是那么遥远。,3,,,,,,,,,,,,,,,,,
20172,3,1,“保持耐心，很快就到了。”,4,,,,,,,,,,,,,,,,,
20172,4,1,“灯塔从不是逐渐靠近的，它是在你走过很多看似无用的路以后突然到达的。”,5,,,,,,,,,,,,,,,,,
20172,5,1,老人在前方说道。,6,,,,,,,,,,,,,,,,,
20172,6,1,眼前的风景突然伸缩拉进，空间扭曲间灯塔就来到了你面前。,7,,,,,,,,,,,,,,,,,
20172,7,1,老人消失不见，而你似乎吾到了什么。,0,,,,,,,,,,,,,,,,,
20173,1,1,你对老人的身份产生了质疑，老人听到后并没有生气,2,,,,,,,,,,,,,,,,,
20173,2,1,而是笑着点点头离开了，走的时候留下了自己的一个提灯。,3,,,,,,,,,,,,,,,,,
20173,3,1,“愿你一种能保持那双锐利的眼睛。”,0,,,,,,,,,,,,,,,,,
20181,1,1,这是一个空间混乱的图书馆，一排排的书架像是无视着空间法则一样随意排序。,2,,,,,,,,,,,,,,,,,
20181,2,1,而在图书馆中间的桌子上，你看到了一个熟悉的身影真在看书。,3,,,,,,,,,,,,,,,,,
20181,3,1,“优格？”,4,,,,,,,,,,,,,,,,,
20181,4,1,你尝试着问到。,5,,,,,,,,,,,,,,,,,
20181,5,1,女人抬起了脸，但是她的脸上始终萦绕这一团雾，让人看不清。,6,,,,,,,,,,,,,,,,,
20181,6,1,但是她那一身的打扮让你确定那就是优格。,7,,,,,,,,,,,,,,,,,
20181,7,1,“看书，或者出去。”,8,,,,,,,,,,,,,,,,,
20181,8,1,像是优格一样的女人冷冷的说道，有一种不容质疑的威严。,0,,,,,,,,,,,,,,,,,
20182,1,1,像是优格的女人继续低头看书，你也随手拿了一本书看。,2,,,,,,,,,,,,,,,,,
20182,2,1,书上全部都是看不懂的文字，但是那些文字像是有生命一样跳跃着。,3,,,,,,,,,,,,,,,,,
20182,3,1,一系列莫名其妙的知识进入了你的脑海，不经意间看的入迷。,4,,,,,,,,,,,,,,,,,
20182,4,1,等到抬头的时候，图书馆变成了一片废墟，手上的书也变成了一抔沙土。,0,,,,,,,,,,,,,,,,,
20183,1,1,你从来没有见过这么严肃的优格，直觉告诉你那很可能不是优格。,2,,,,,,,,,,,,,,,,,
20183,2,1,你缓慢的后退，生怕弄出大的响声。,3,,,,,,,,,,,,,,,,,
20183,3,1,最终悄无声息的离开了图书馆。,0,,,,,,,,,,,,,,,,,
20191,1,1,废弃游乐园的摩天轮在无风之夜缓缓转动，锈蚀的座舱里传出齿轮咬合的呻吟。,2,,,,,,,,,,,,,,,,,
20191,2,0,"广播突然响起，沙哑的嗓音宣布：""欢迎各位游客乘坐本园特色项目，命运之轮。""",0,,,,,,,,,,,,,,,,,
20192,1,1,坐上摩天轮，在没有人控制的情况下竟然自己慢慢的转动起来。,2,,,,,,,,,,,,,,,,,
20192,2,1,当摩天轮升到顶点的时候突然停了下来，一半数量的轿厢突然翻转，,3,,,,,,,,,,,,,,,,,
20192,3,1,地上接二连三的响起重物落地的声音，所以你的轿厢一切正常。,4,,,,,,,,,,,,,,,,,
20192,4,1,命运女神有一次眷顾了你，你活下来了，那么下次呢？,0,,,,,,,,,,,,,,,,,
20193,1,1,好运气从不会持久，你永远不知道下一次的筹码是不是自己的生命。,2,,,,,,,,,,,,,,,,,
20193,2,1,你离开了游乐园，离那个叫做命运之轮的东西远一些。,3,,,,,,,,,,,,,,,,,
20193,3,1,即便如此，又能逃多久呢，谁也不知道。,0,,,,,,,,,,,,,,,,,
20201,1,1,前方的广场中央矗立着一座巨大的青铜表盘。,2,,,,,,,,,,,,,,,,,
20201,2,0,锈迹斑斑的指针静止不动，仿佛被某种无形的力量束缚在永恒的循环中。,3,,,,,,,,,,,,,,,,,
20201,3,1,空气中弥漫着一种令人窒息的停滞感，时间在这里似乎失去了意义。,0,,,,,,,,,,,,,,,,,
20202,1,1,周围的植物开始疯狂增长，同时你感觉到你的生命力在疯狂流逝。,2,,,,,,,,,,,,,,,,,
20202,2,1,在你眼前的不再是这片广场的景色，而是无数个类似的场景。,3,,,,,,,,,,,,,,,,,
20202,3,1,空间扭曲变化，看到了，看到了，你看到了时间的移动。,4,,,,,,,,,,,,,,,,,
20202,4,1,你从另一个维度观察到了这个世界！,0,,,,,,,,,,,,,,,,,
20203,1,1,随着指针的倒转，原本散落在地上的建筑残骸奇迹般的粘合回去。,2,,,,,,,,,,,,,,,,,
20203,2,1,掉落的枯叶飞回指头，重新边的绿意盎然。,3,,,,,,,,,,,,,,,,,
20203,3,1,你已经忘了自己在干什么，但是你惊叹于眼前的景象。,4,,,,,,,,,,,,,,,,,
20203,4,1,手指依靠着惯性移动着指针，突然之间你缩回了手。,5,,,,,,,,,,,,,,,,,
20203,5,1,自己在干什么？为什么会在这里？你也不知道，但是直觉告诉你不要再触碰眼前的指针了。,0,,,,,,,,,,,,,,,,,
20204,1,1,面对这种原理不明的机关最好不要乱动。,2,,,,,,,,,,,,,,,,,
20204,2,1,如此想着，你离开了这里。,0,,,,,,,,,,,,,,,,,
20211,1,1,一轮明月悬挂在空中，湖泊在苍白的月光下泛的银光。,2,,,,,,,,,,,,,,,,,
20211,2,1,湖面平静如镜，没有一丝的皱纹和破坏美感的倒影。,3,,,,,,,,,,,,,,,,,
20211,3,1,在湖边，一群人或站或立，抬头望着月亮。,4,,,,,,,,,,,,,,,,,
20211,4,0,“来看看月亮吧，今天是一个难得的月圆时刻。”,5,,,,,,,,,,,,,,,,,
20211,5,1,一个男子注意到了你的到来，并且对你发出了邀请。,0,,,,,,,,,,,,,,,,,
20212,1,1,你在人群中找了一个地方坐下来，抬头看着月亮。,2,,,,,,,,,,,,,,,,,
20212,2,1,多美的月亮啊，黄色的月亮悬挂在夜空中。,3,,,,,,,,,,,,,,,,,
20212,3,1,如同一颗温润的珍珠，散发着柔和而清冷的光辉。,4,,,,,,,,,,,,,,,,,
20212,4,1,与之交相辉映的是湖面上的红色月亮，像是一颗红宝石一般美丽。,5,,,,,,,,,,,,,,,,,
20212,5,1,等等...................红色月亮？之前在湖面上还什么都没有。,6,,,,,,,,,,,,,,,,,
20212,6,1,你心中一颤，如同掉入冰窟一般打了一个寒颤。,7,,,,,,,,,,,,,,,,,
20212,7,1,你不敢多问，也不敢多想，乘着别人不注意溜走了。,8,,,,,,,,,,,,,,,,,
20212,8,1,只留下身后众人的微笑。,0,,,,,,,,,,,,,,,,,
20213,1,1,路上的经历让你疲惫不堪，而这里似乎是一个可以休息的地方。,2,,,,,,,,,,,,,,,,,
20213,2,1,你走到湖边，用清冽的湖水洗了一把脸。,3,,,,,,,,,,,,,,,,,
20213,3,1,清冽的湖水消除了些许的疲惫，思绪也开始放空，看着波纹远去。,4,,,,,,,,,,,,,,,,,
20213,4,1,突然，你感觉有什么不对的地方。,5,,,,,,,,,,,,,,,,,
20213,5,1,湖面上除了波纹什么也没有，没有那些人的倒影，也没有月亮。,6,,,,,,,,,,,,,,,,,
20213,6,1,寒意遍布全身，你假装没看见。,7,,,,,,,,,,,,,,,,,
20213,7,1,在来一股不知从而何来的目光之下，偷偷离开了这里。,0,,,,,,,,,,,,,,,,,
20214,1,1,“月亮有什么好看的？”,2,,,,,,,,,,,,,,,,,
20214,2,1,你摇了摇头，拒绝了男子。,3,,,,,,,,,,,,,,,,,
20214,3,1,然而，你突然发现在场的所有人都在看着你，带着一种愤怒的目光。,4,,,,,,,,,,,,,,,,,
20214,4,1,“你竟然.......敢说月亮不好看！”,5,,,,,,,,,,,,,,,,,
20214,5,1,男子的每个字都带着怒火，其他人也将你包围了起来。,6,,,,,,,,,,,,,,,,,
20214,6,1,他们悍不畏死的冲上来将你控制着，大喊着听不懂的语言将你丢入湖中。,7,,,,,,,,,,,,,,,,,
20214,7,1,等到爬上来的时候那群人已经消失不见，只留下一轮红色的月亮悬挂在空中。,0,,,,,,,,,,,,,,,,,
20221,1,1,三个天秤悬浮在玛阿特之厅中，四十二根黑曜石柱上盘踞着长满复眼的豺狼头神像。,2,,,,,,,,,,,,,,,,,
20221,2,1,每个秤盘左侧都漂浮着腐烂的羽毛，右侧则什么都没有。,3,,,,,,,,,,,,,,,,,
20221,3,1,长着鳄鱼头的阿米特张开嘴从里面伸出了一只眼睛。,4,,,,,,,,,,,,,,,,,
20221,4,0,“眼，鼻，耳，舌，脑，心脏，一半上天平。”,5,,,,,,,,,,,,,,,,,
20221,5,1,眼睛张嘴说道。,0,,,,,,,,,,,,,,,,,
20222,1,1,天平摇摇晃晃，你感觉似乎少了点什么。,2,,,,,,,,,,,,,,,,,
20222,2,1,走向下一个天平。,0,,,,,,,,,,,,,,,,,
20223,1,1,天平摇摇晃晃，你感觉似乎少了点什么。,2,,,,,,,,,,,,,,,,,
20223,2,1,走向下一个天平。,0,,,,,,,,,,,,,,,,,
20224,1,1,天平摇摇晃晃，你感觉似乎少了点什么。,2,,,,,,,,,,,,,,,,,
20224,2,1,走向下一个天平。,0,,,,,,,,,,,,,,,,,
20225,1,1,天平摇摇晃晃，你感觉似乎少了点什么。,2,,,,,,,,,,,,,,,,,
20225,2,1,走向下一个天平。,0,,,,,,,,,,,,,,,,,
20226,1,1,天平摇摇晃晃，你感觉似乎少了点什么。,2,,,,,,,,,,,,,,,,,
20226,2,1,但是随着三个天平的晃动逐渐减小，你放上去的东西最终和羽毛平衡了。,3,,,,,,,,,,,,,,,,,
20226,3,1,阿米特失望的闭上了嘴，挪动身体让开了身后的门。,0,,,,,,,,,,,,,,,,,
20227,1,1,天平摇摇晃晃，你感觉似乎少了点什么。,2,,,,,,,,,,,,,,,,,
20227,2,1,但是随着三个天平的晃动逐渐减小，你放上去的东西最终和羽毛平衡了。,3,,,,,,,,,,,,,,,,,
20227,3,1,阿米特失望的闭上了嘴，挪动身体让开了身后的门。,0,,,,,,,,,,,,,,,,,
